source_language,age,gender,experience_years,monthly_salary_eur,annual_income_eur,income_change_pct,company,company_type,company_type_en,role,role_en,role_group,education,education_en,education_level,office_city,location_category,office_time_percent,salary_competitive
fi,26_30,male,4.0,5350.0,67000.0,2.9,,"tuotetalossa, jonka core-bisnes on softa",product_company,flutter developer,flutter developer,software_developer_engineer,master's in software engineering and digital transformation,master's degree,master,turku,rest_of_finland,10.0,true
fi,36_40,male,1.0,2800.0,,-5.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,software developer,software developer,software_developer_engineer,tieto ja viestintätekniikan insinööri,tieto ja viestintätekniikan insinööri,bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,5.0,false
fi,31_35,male,6.0,4317.63,54000.0,2.5,,konsulttitalossa,consulting,full stack developer,full stack developer,software_developer_engineer,amk-insinööri,bachelor's engineering (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,30.0,false
fi,31_35,male,14.0,6000.0,85000.0,0.0,reaktor,konsulttitalossa,consulting,software developer,software developer,software_developer_engineer,datanomi,vocational it diploma,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,5.0,true
fi,31_35,male,12.0,7000.0,84000.0,4.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior developer,senior developer,senior_developer,tietotekniikan maisteri,master's degree,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,41_45,male,17.0,4800.0,68000.0,3.0,,konsulttitalossa,consulting,,,other,luk,luk,other,tampere,rest_of_finland,95.0,true
fi,26_30,female,6.0,4250.0,55000.0,3.0,,konsulttitalossa,consulting,frontend developer,frontend developer,software_developer_engineer,tietojenkäsittelyn tradenomi,tietojenkäsittelyn tradenomi,bachelor,turku,rest_of_finland,10.0,true
fi,41_45,female,5.0,3600.0,43200.0,0.0,mehiläinen,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,frontend developer,frontend developer,software_developer_engineer,,,unknown,turku,rest_of_finland,10.0,false
fi,26_30,male,6.0,3896.0,,2.0,,konsulttitalossa,consulting,software developer,software developer,software_developer_engineer,amk,bachelor's (amk),bachelor,tampere,rest_of_finland,100.0,false
fi,31_35,male,17.0,6000.0,75000.0,0.0,,konsulttitalossa,consulting,senior consultant / full-stack,senior consultant / full-stack,software_developer_engineer,datanomi,vocational it diploma,master,jyväskylä,rest_of_finland,5.0,true
fi,41_45,male,25.0,7130.0,103000.0,3.0,,konsulttitalossa,consulting,software developer,software developer,software_developer_engineer,tietotekniikan diplomi-insinööri,msc (engineering),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,70.0,true
fi,41_45,male,16.0,5400.0,67500.0,8.0,,konsulttitalossa,consulting,senior developer,senior developer,senior_developer,"tradenomi, tietojenkäsittely","tradenomi, tietojenkäsittely",bachelor,tampere,rest_of_finland,45.0,true
fi,31_35,male,12.0,8400.0,95000.0,0.0,loihde,konsulttitalossa,consulting,senior consultant,senior consultant,software_developer_engineer,datanomi,vocational it diploma,master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,30.0,true
fi,51_55,male,25.0,7200.0,90000.0,0.0,,konsulttitalossa,consulting,johtava konsultti,johtava konsultti,other,korkeakoulu,korkeakoulu,other,tampere,rest_of_finland,5.0,true
fi,31_35,male,10.0,6120.0,73440.0,1.7,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior full stack developer,senior full stack developer,senior_developer,tekniikan kandidaatti(tty),bachelor's degree,bachelor,tampere,rest_of_finland,5.0,true
fi,31_35,male,8.0,5500.0,66000.0,0.0,reaktor innovations oyj,konsulttitalossa,consulting,"full stack developer,","full stack developer,",software_developer_engineer,ammattikorkeakoulu,bachelor's (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,100.0,50/50
fi,26_30,male,7.0,4135.0,49620.0,2.3,solita,konsulttitalossa,consulting,frontend developer,frontend developer,software_developer_engineer,tietojenkäsittelyn tradenomi,tietojenkäsittelyn tradenomi,bachelor,tampere,rest_of_finland,15.0,false
fi,31_35,female,2.0,3189.0,,14.0,atr soft,konsulttitalossa,consulting,ai specialist,ai specialist,data_ml_analytics,"fm, digitaalinen kielentutkimus","fm, digitaalinen kielentutkimus",master,turku,rest_of_finland,50.0,false
fi,26_30,male,6.0,5600.0,70000.0,4.0,,konsulttitalossa,consulting,koodari,koodari,other,"kandidaatin tutkinto, tietojenkäsittelytiede","kandidaatin tutkinto, tietojenkäsittelytiede",master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,15.0,true
fi,36_40,female,6.0,5500.0,,,,"yrityksessä, jossa softa on tukeva toiminto (esim pankit, terveysala, yms)",enterprise,software developer,software developer,software_developer_engineer,,,unknown,"pk-seutu (helsinki, espoo, vantaa)",capital_region,20.0,true
fi,36_40,male,13.0,5700.0,74000.0,2.2,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior software developer,senior software developer,senior_developer,insinööri (amk),bachelor's engineering (amk),bachelor,"pk-seutu (helsinki, espoo, vantaa)",capital_region,0.0,true
fi,41_45,male,17.0,6520.0,81500.0,5.0,,konsulttitalossa,consulting,data architect,data architect,data_ml_analytics,"tekn. kand., tietotekniikka","tekn. kand., tietotekniikka",other,"pk-seutu (helsinki, espoo, vantaa)",capital_region,40.0,true
fi,26_30,male,7.0,3150.0,40000.0,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,lead developer,lead developer,lead_developer,ohjelmistotekniikan di,ohjelmistotekniikan di,master,turku,rest_of_finland,0.0,false
fi,21_25,male,1.0,3000.0,,0.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,full stack dev,full stack dev,software_developer_engineer,amk,bachelor's (amk),bachelor,lahti,rest_of_finland,30.0,false
fi,31_35,male,9.0,6000.0,72000.0,5.0,,"tuotetalossa, jonka core-bisnes on softa",product_company,senior frontend developer,senior frontend developer,senior_developer,diplomi-insinööri,msc (engineering),master,"pk-seutu (helsinki, espoo, vantaa)",capital_region,5.0,true
